time,open,high,low,close,Basis,Upper,Lower,Volume,Volume MA,Plot,Plot,Range High Percentile,Range High Percentile,Williams Vix Fix,Upper Band,RSI,Aroon Up,Aroon Down
1570014000,185.85,186.18,185.82,186.16,188.34224999999967,190.35611810649746,186.32838189350187,7600,229800.1,-1.5834821428569912,0,NaN,NaN,2.415712635227389,NaN,35.11464985504318,28.571428571428573,100
1570017600,186.15,186.28,185.7,185.74,188.18099999999967,190.4675773549899,185.89442264500943,49231,217517.7,-1.959780357142698,0,NaN,NaN,2.4787312257115843,NaN,32.96354307881687,21.428571428571427,100
1570021200,185.78,186.09,184.59,184.93,187.97949999999966,190.63627605386645,185.32272394613287,542694,238267.2,-2.3681267857141206,0,NaN,NaN,3.0616531876903603,NaN,29.242926851473058,14.285714285714286,100
1570024800,184.91,185.24,183.8,184.15,187.75299999999967,190.8655751397216,184.64042486027773,905607,277173.85,-2.836003571428405,0,NaN,NaN,3.476525575044626,NaN,26.17868471556919,7.142857142857143,100
1570028400,184.13,184.47,183.5,183.94,187.51249999999968,191.00044423699688,184.02455576300247,682517,277463.5,-3.2415999999998375,0,NaN,NaN,3.634072051255114,NaN,25.406784225033547,0,100
1570032000,183.92,183.93,183.02,183.24,187.21449999999967,191.0734971495677,183.35550285043166,402928,292156.8,-3.6209553571426962,0,NaN,NaN,3.88614641319188,NaN,22.974962499477982,0,100
1570035600,183.2,183.85,183.09,183.4,186.93099999999967,191.0287891600725,182.83321083992683,351045,309414.05,-3.8843732142855547,0,NaN,NaN,3.8493855687427714,NaN,24.74795527432599,0,92.85714285714286
1570039200,183.38,184.29,183.27,184.2,186.68149999999966,190.80629466160775,182.55670533839157,402770,329387.55,-3.889664285714129,0,NaN,NaN,3.7548576830164784,NaN,33.04651837469332,0,85.71428571428571
1570042800,184.22,184.62,183.77,184.02,186.41499999999968,190.50430067376146,182.3256993262379,899874,374288.75,-3.8326999999998392,0,NaN,NaN,3.4922802226656744,NaN,32.18646562851163,14.285714285714286,78.57142857142857
1570046400,184.01,184.12,183.41,183.74,186.12649999999968,190.11457861010865,182.1384213898907,88518,377813.2,-3.733626785714124,0,NaN,NaN,3.68133599411826,NaN,30.84181483949645,7.142857142857143,71.42857142857143
1570050000,183.76,183.77,183.76,183.77,185.79399999999967,189.3837543092014,182.20424569079793,600,358866,-3.4703767857141234,0,NaN,NaN,3.497531771872701,NaN,31.17358648551935,0,64.28571428571429
1570053600,183.74,183.81,183.74,183.81,185.56949999999966,189.06463647808835,182.07436352191098,500,311646.6,-3.245324999999835,0,NaN,NaN,3.5080348702867235,NaN,31.644447675879434,14.285714285714286,57.142857142857146
1570057200,183.98,184.12,183.98,184.12,185.37499999999963,188.735604112431,182.01439588756827,1000,290865.35,-2.9276321428569774,0,NaN,NaN,2.2942113648433464,NaN,35.336624679183615,7.142857142857143,50
1570100400,184.11,184.11,183.57,183.61,185.17149999999964,188.44081965406977,181.9021803459295,5900,271456.75,-2.734558928571256,0,NaN,NaN,2.3615765118876646,NaN,32.25033872619754,0,42.857142857142854
